customer_id,product_id,purchase_amount
C1,P10852,87.71
C1,P10940,101.71
C1,P13818,42.11
C1,P2310,55.37
C1,P393,55.16
C1,P5663,95.68
C1,P6448,6.43
C1,P6599,63.76
C10,P10484,73.18
C10,P10833,100.08
C10,P12980,43.78
C10,P13406,7.06
C10,P14619,75.46
C10,P2527,33.16
C10,P3041,46.05
C10,P7596,42.15
C10,P8067,58.06
C10,P8366,54.31
C10,P8477,60.91
C10,P9708,85.04
C100,P11215,24.87
C100,P11422,33.44
C100,P16770,24.37
C100,P2045,85.99
C100,P4615,49.29
C100,P5066,49.29
C100,P5395,2.39
C100,P6421,24.58
C1000,P11160,80.9
C1000,P1543,77.02
C1000,P225,57.56
C1000,P2790,13.72
C1000,P3044,85.51
C1000,P3053,84.17
C1000,P651,63.7
C1000,P6557,2.65
C1000,P705,58.94
C1000,P7242,101.06
C1000,P873,90.3
C10000,P11183,49.74
C10000,P11299,56.56
C10000,P12197,70.38
C10000,P12518,31.8
C10000,P12633,28.96
C10000,P15718,51.54
C10000,P16255,52.64
C10000,P1998,24.36
C10000,P5456,34.8
C10000,P7807,99.34
C10000,P8564,100.69
C10000,P9350,89.32
C1001,P11140,63.41
C1001,P15701,40.26
C1001,P15765,86.05
C1001,P16642,37.61
C1001,P1873,100.75
C1001,P25,12.19
C1001,P3108,43.6
C1001,P3310,23.33
C1001,P4725,51.97
C1001,P5571,93.98
C1001,P5798,80.01
C1001,P736,4.02
C1001,P8138,83.98
C1002,P1211,78.87
C1002,P13577,90.94
C1002,P15484,20.48
C1002,P1601,40.92
C1002,P1693,13.3
C1002,P3407,99.32
C1002,P5414,61.18
C1002,P9622,76.01
C1002,P9812,1.26
C1003,P10485,99.93
C1003,P12805,22.3
C1003,P15703,61.74
C1003,P16695,29.7
C1003,P3864,37.53
C1003,P592,77.11
C1003,P6783,92.02
C1003,P7962,92.26
C1004,P11718,99.03
C1004,P12305,75.72
C1004,P1731,94.22
C1004,P5146,74.55
C1004,P8147,34.26
C1004,P9051,50.39
C1005,P12701,70.25
C1005,P14362,57.71
